pedestrianId endTime-PID1
8 0.4
9 0.4
10 0.4
11 0.4
12 0.4
13 0.4
14 0.4
15 0.4
16 0.4
17 0.4
18 0.4
19 0.4
20 0.4
21 0.4
22 0.4
23 0.4
24 0.4
25 0.4
26 0.4
27 0.4
8 0.8
9 0.8
10 0.8
11 0.8
12 0.8
13 0.8
14 0.8
15 0.8
16 0.8
17 0.8
18 0.8
19 0.8
20 0.8
21 0.8
22 0.8
23 0.8
24 0.8
25 0.8
26 0.8
27 0.8
8 1.2000000000000002
9 1.2000000000000002
10 1.2000000000000002
11 1.2000000000000002
12 1.2000000000000002
13 1.2000000000000002
14 1.2000000000000002
15 1.2000000000000002
16 1.2000000000000002
17 1.2000000000000002
18 1.2000000000000002
19 1.2000000000000002
20 1.2000000000000002
21 1.2000000000000002
22 1.2000000000000002
23 1.2000000000000002
24 1.2000000000000002
25 1.2000000000000002
26 1.2000000000000002
27 1.2000000000000002
8 1.6
9 1.6
10 1.6
11 1.6
12 1.6
13 1.6
14 1.6
15 1.6
16 1.6
17 1.6
18 1.6
19 1.6
20 1.6
21 1.6
22 1.6
23 1.6
24 1.6
25 1.6
26 1.6
27 1.6
8 2.0
9 2.0
10 2.0
11 2.0
12 2.0
13 2.0
14 2.0
15 2.0
16 2.0
17 2.0
18 2.0
19 2.0
20 2.0
21 2.0
22 2.0
23 2.0
24 2.0
25 2.0
26 2.0
27 2.0
8 2.4
9 2.4
10 2.4
11 2.4
12 2.4
13 2.4
14 2.4
15 2.4
16 2.4
17 2.4
18 2.4
19 2.4
20 2.4
21 2.4
22 2.4
23 2.4
24 2.4
25 2.4
26 2.4
27 2.4
8 2.8
9 2.8
10 2.8
11 2.8
12 2.8
13 2.8
14 2.8
15 2.8
16 2.8
17 2.8
18 2.8
19 2.8
20 2.8
21 2.8
22 2.8
23 2.8
24 2.8
25 2.8
26 2.8
27 2.8
8 3.1999999999999997
9 3.1999999999999997
10 3.1999999999999997
11 3.1999999999999997
12 3.1999999999999997
13 3.1999999999999997
14 3.1999999999999997
15 3.1999999999999997
16 3.1999999999999997
17 3.1999999999999997
18 3.1999999999999997
19 3.1999999999999997
20 3.1999999999999997
21 3.1999999999999997
22 3.1999999999999997
23 3.1999999999999997
24 3.1999999999999997
25 3.1999999999999997
26 3.1999999999999997
27 3.1999999999999997
8 3.5999999999999996
9 3.5999999999999996
10 3.5999999999999996
11 3.5999999999999996
12 3.5999999999999996
13 3.5999999999999996
14 3.5999999999999996
15 3.5999999999999996
16 3.5999999999999996
17 3.5999999999999996
18 3.5999999999999996
19 3.5999999999999996
20 3.5999999999999996
21 3.5999999999999996
22 3.5999999999999996
23 3.5999999999999996
24 3.5999999999999996
25 3.5999999999999996
26 3.5999999999999996
27 3.5999999999999996
8 3.9999999999999996
9 3.9999999999999996
10 3.9999999999999996
11 3.9999999999999996
12 3.9999999999999996
13 3.9999999999999996
14 3.9999999999999996
15 3.9999999999999996
